Code	Title	TitleEN	Disease_CMAUP	Disease_Category_CMAUP
DA09.0	牙髓炎	Pulpitis	Pulpitis	13.Diseases of the digestive system
2C77	宫颈恶性肿瘤	Malignant neoplasms of cervix uteri	Cervical cancer	02.Neoplasms
8A01	舞蹈病样疾患	Choreiform disorders	Choreiform disorder	08.Diseases of the nervous system
2C30	皮肤黑色素瘤	Melanoma of skin	Melanoma	02.Neoplasms
2D10	甲状腺恶性肿瘤	Malignant neoplasms of thyroid gland	Thyroid cancer	02.Neoplasms
2A82	成熟B细胞肿瘤伴白血病行为	Mature B-cell neoplasm with leukaemic behaviour	Mature B-cell leukaemia	02.Neoplasms
4A40	红斑狼疮	Lupus erythematosus	Lupus erythematosus	04.Diseases of the immune system
8B20	缺血或出血未知的卒中	Stroke not known if ischaemic or haemorrhagic	Ischaemic/haemorrhagic stroke	08.Diseases of the nervous system
2A00	脑原发性肿瘤	Primary neoplasms of brain	Brain cancer	02.Neoplasms
2A00	脑原发性肿瘤	Primary neoplasms of brain	Solid tumour/cancer	02.Neoplasms
2F9Z	未特指部位的生物学行为未知的肿瘤	Neoplasms of unknown behaviour of unspecified site	Solid tumour/cancer	02.Neoplasms
9C61	青光眼	Glaucoma	Glaucoma	09.Diseases of the visual system
8A00	帕金森综合征	Parkinsonism	Parkinsonism	08.Diseases of the nervous system
BD10	充血性心力衰竭	Congestive heart failure	Heart failure	11.Diseases of the circulatory system
BD1Z	未特指的心力衰竭	Heart failure, unspecified	Heart failure	11.Diseases of the circulatory system
LD2A	性发育畸形	Malformative disorders of sex development	Sex development malformative disorder	20.Developmental anomalies
2A21	肥大细胞增生症	Mastocytosis	Mastocytosis	02.Neoplasms
8A40	多发性硬化	Multiple sclerosis	Multiple sclerosis	08.Diseases of the nervous system
2C10	胰腺恶性肿瘤	Malignant neoplasm of pancreas	Pancreatic cancer	02.Neoplasms
6A20	精神分裂症	Schizophrenia	Psychotic disorder	06.Mental, behavioural or neurodevelopmental disorders
6A25	原发性精神病性障碍的症状表现	Symptomatic manifestations of primary psychotic disorders	Psychotic disorder	06.Mental, behavioural or neurodevelopmental disorders
3B64	血小板减少症	Thrombocytopenia	Thrombocytopenia	03.Diseases of the blood or blood-forming organs
PC91	通过暴露于镇静催眠药物或其他中枢神经抑制剂或其有害效应的方式故意自害	Intentional self-harm by exposure to or harmful effects of sedative hypnotic drugs or other CNS depressants	Intentional self-harm	23.External causes of morbidity or mortality
5A14	糖尿病，未特指类型	Diabetes mellitus, type unspecified	Diabetes mellitus, type unspecified	05.Endocrine, nutritional or metabolic diseases
2D42	不明部位的恶性肿瘤	Malignant neoplasms of ill-defined sites	Head and neck cancer	02.Neoplasms
5A00	甲状腺功能减退症	Hypothyroidism	Hypo-thyroidism	05.Endocrine, nutritional or metabolic diseases
2B72	胃恶性肿瘤	Malignant neoplasms of stomach	Stomach cancer	02.Neoplasms
5C80	高脂蛋白血症	Hyperlipoproteinaemia	Hyperlipidemia	05.Endocrine, nutritional or metabolic diseases
2B33	恶性造血组织肿瘤，未进一步特指	Malignant haematopoietic neoplasms without further specification	Malignant haematopoietic neoplasm	02.Neoplasms
6C40	酒精使用所致障碍	Disorders due to use of alcohol	Substance abuse	06.Mental, behavioural or neurodevelopmental disorders
2C73	卵巢恶性肿瘤	Malignant neoplasms of ovary	Ovarian cancer	02.Neoplasms
2A83	浆细胞肿瘤	Plasma cell neoplasms	Multiple myeloma	02.Neoplasms
2A37	骨髓增生异常综合征，不能分类	Myelodysplastic syndrome, unclassifiable	Myelodysplastic syndrome	02.Neoplasms
5A11	2型糖尿病	Type 2 diabetes mellitus	Type 2 diabetes mellitus	05.Endocrine, nutritional or metabolic diseases
FA20	类风湿性关节炎	Rheumatoid arthritis	Rheumatoid arthritis	15.Diseases of the musculoskeletal system or connective tissue
8B60	运动神经元病	Motor neuron disease	Motor neuron disease	08.Diseases of the nervous system
4A01	适应性免疫疾患引起的原发性免疫缺陷	Primary immunodeficiencies due to disorders of adaptive immunity	Adaptive immunity immunodeficiency	04.Diseases of the immune system
