prescription_id	component_id	bio_resource_id	barcode
TCMF1	TCMH1398	NPO18176	ITSAM882-14
TCMF1	TCMH1219	NPO4784	
TCMF1	TCMH628	NPO7154	ITSAM892-14
TCMF1	TCMH1903	NPO20553	ITSAO3969-14
TCMF2	TCMH407	NPO5743	ITSAH2408-14
TCMF2	TCMH2473	NPO23548	ITSAN1807-14
TCMF2	TCMH1393	NPO2838	ITSAJ4412-14
TCMF2	TCMH1588	NPO15077	ITSAJ4612-14
TCMF2	TCMH949	NPO24476.1	ITSAM1586-14
TCMF2	TCMH949	NPO24476	ITSAM1586-14
TCMF2	TCMH109	NPO1373	ITSAJ4425-14
TCMF2	TCMH2161	NPO30164	
TCMF2	TCMH2161	NPO40525	
TCMF3	TCMH407	NPO5743	ITSAH2408-14
TCMF3	TCMH305	NPO22033	ITSAP4207-14
TCMF3	TCMH2073	NPO14992	ITSAN1047-14
TCMF3	TCMH2073	NPO56307	ITSAN1047-14
TCMF3	TCMH1068	NPO18117	ITSAJ4189-14
TCMF3	TCMH1766	NPO17458	ITSAJ4240-14
TCMF3	TCMH544	NPO12870	ITSAN2146-14
TCMF3	TCMH2618	NPO7317.2	ITSAA1279-14
TCMF3	TCMH2618	NPO7317	ITSAA1279-14
TCMF3	TCMH2618	NPO7317.1	ITSAA1279-14
TCMF3	TCMH363	NPO20881	ITSAJ4685-14
TCMF4	TCMH451	NPO8101	ITSAH4578-14
TCMF4	TCMH147	NPO8874	ITSAF389-14
TCMF4	TCMH1423	NPO9261	ITSAJ4140-14
TCMF4	TCMH1597	NPO18340	ITSAM2109-14
TCMF4	TCMH2202	NPO8187	ITSAM2867-14
TCMF4	TCMH981	NPO24846	ITSAK2981-14
TCMF4	TCMH421	NPO15462	ITSAF173-14
TCMF4	TCMH819	NPO31520	ITSAL419-14
TCMF4	TCMH104	NPO30226	ITSAH2416-14
TCMF4	TCMH104	NPO9798	ITSAH2416-14
TCMF4	TCMH1525	NPO30109	BCMOL364-12
TCMF4	TCMH1525	NPO9869	BCMOL364-12
TCMF4	TCMH407	NPO5743	ITSAH2408-14
TCMF4	TCMH284	NPO31089	KY197925
TCMF4	TCMH967	NPO9935	ITSAH4762-14
TCMFx5	TCMH288	NPO30004	
TCMFx5	TCMH1533	NPO25825	
TCMFx5	TCMH1533	NPO30603	
TCMFx5	TCMH249	NPO29756	KU879012
TCMFx5	TCMH1068	NPO18117	ITSAJ4189-14
TCMFx5	TCMH2295	NPO7977	
TCMFx5	TCMH33	NPO13274	ITSAJ4138-14
TCMFx5	TCMH486	NPO3987	GBVI185-11
TCMFx5	TCMH1753	NPO15315	
TCMFx5	TCMH728	NPO29463	ITSAJ4146-14
TCMF6	TCMH1525	NPO30109	BCMOL364-12
TCMF6	TCMH1525	NPO9869	BCMOL364-12
TCMF6	TCMH1753	NPO15315	
TCMF6	TCMH705	NPO21707	ITSAO4359-14
TCMF6	TCMH797	NPO29718	
TCMF6	TCMH981	NPO24846	ITSAK2981-14
TCMF6	TCMH1508	NPO7730	MH522406
TCMF6	TCMH2084	NPO11694	ITSAJ4142-14
TCMF6	TCMH2244	NPO17494	ITSAH2424-14
TCMF6	TCMH1766	NPO17458	ITSAJ4240-14
TCMF6	TCMH2343	NPO4802	ITSAO4295-14
TCMF6	TCMH120	NPO20902	ITSAN4430-14
TCMF6	TCMH2596	NPO12556	
TCMF6	TCMH544	NPO12870	ITSAN2146-14
TCMF6	TCMH407	NPO5743	ITSAH2408-14
TCMF7	TCMH1525	NPO30109	BCMOL364-12
TCMF7	TCMH1525	NPO9869	BCMOL364-12
TCMF7	TCMH1753	NPO15315	
TCMF7	TCMH705	NPO21707	ITSAO4359-14
TCMF7	TCMH797	NPO29718	
TCMF7	TCMH981	NPO24846	ITSAK2981-14
TCMF7	TCMH1508	NPO7730	MH522406
TCMF7	TCMH2084	NPO11694	ITSAJ4142-14
TCMF7	TCMH2244	NPO17494	ITSAH2424-14
TCMF7	TCMH1766	NPO17458	ITSAJ4240-14
TCMF7	TCMH2343	NPO4802	ITSAO4295-14
TCMF7	TCMH120	NPO20902	ITSAN4430-14
TCMF7	TCMH2596	NPO12556	
TCMF7	TCMH544	NPO12870	ITSAN2146-14
TCMF7	TCMH407	NPO5743	ITSAH2408-14
TCMF8	TCMH2241	NPO29812	KY120319
TCMF8	TCMH606	NPO23577	GBPOL314-13
TCMF8	TCMH606	NPO30645	GBPOL314-13
TCMF8	TCMH421	NPO15462	ITSAF173-14
TCMF8	TCMH305	NPO22033	ITSAP4207-14
TCMF8	TCMH1349	NPO19783	ABMC060-05
TCMF8	TCMH12	NPO28276	ITSAE2504-14
TCMF8	TCMH2334	NPO17206	ITSAC1509-14
TCMF8	TCMH243	NPO19584	
TCMF8	TCMH228	NPO29401	ITSAM2218-14
TCMF8	TCMH2376	NPO827	
TCMF8	TCMH916	NPO13515	
TCMF8	TCMH451	NPO8101	ITSAH4578-14
TCMF8	TCMH986	NPO28877	ITSAP4211-14
TCMF8	TCMH120	NPO20902	ITSAN4430-14
TCMF8	TCMH1966	NPO8101	ITSAH4578-14
TCMF8	TCMH104	NPO30226	ITSAH2416-14
TCMF8	TCMH104	NPO9798	ITSAH2416-14
TCMF8	TCMH981	NPO24846	ITSAK2981-14
TCMF8	TCMH2202	NPO8187	ITSAM2867-14
TCMF8	TCMH1742	NPO31458	GQ255631
TCMF8	TCMH524	NPO16850	ITSAM1588-14
TCMF8	TCMH619	NPO15730.2	ITSAJ4647-14
TCMF8	TCMH890	NPO15826	ITSAM1591-14
TCMF8	TCMH2265	NPO22796	GENG1049-15
TCMF8	TCMH1513	NPO29741	
TCMF8	TCMH746	NPO20552	
