PrescriptionID,ComponentID,LatinName,ChineseName,ComponentQuantity,Barcode
TCMF4,TCMH542,,阿胶珠,TCMH542,
TCMF4,TCMH2578,Lycopi Herba,泽兰,TCMH2578,
TCMF4,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMF6,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMF7,TCMH1026,Gallus gallus domesticus,鸡内金,TCMH1026,ACLB009-06
TCMF8,TCMH541,Colla corii asini,阿胶,TCMH541,
TCMFx9,TCMH578,Dendropanax dentiger,枫荷桂,TCMH578,ITSAK2032-14
TCMFx9,TCMH389,Gleditsiae sinensis fructus,大皂角,TCMH389,
TCMF12,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMF14,TCMH933,Talcum,滑石,TCMH933,
TCMF16,TCMH1617,Eriobotrya japonica thunb,枇杷叶,TCMH1617,ITSAN1970-14
TCMFx18,TCMH2568,Ferrosi sulfas,皂矾,TCMH2568,
TCMFx18,TCMH2313,,新阿胶,TCMH2313,
TCMF19,TCMH1365,,卵磷脂,TCMH1365,
TCMF19,TCMH2171,,维生素E,TCMH2171,
TCMFx22,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx27,TCMH1893,,神曲茶,TCMH1893,
TCMFx28,TCMH834,Semen glycine max,黑豆,TCMH834,ITSAJ4675-14
TCMFx30,TCMH107,,白石脂,TCMH107,
TCMFx30,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMF31,TCMH2176,Scolopendra subspinipes mutilans,蜈蚣,TCMH2176,
TCMFx32,TCMH1328,Resina draconis,龙血竭,TCMH1328,
TCMFx34,TCMH1471,Tabanus,虻虫,TCMH1471,
TCMFx34,TCMH1645,Holotrichia diomphalia,蛴螬,TCMH1645,GBCL13898-12
TCMFx34,TCMH655,Resina toxicodendri,干漆,TCMH655,
TCMFx36,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMFx36,TCMH54,Alumen,白矾,TCMH54,
TCMFx37,TCMH459,Melastoma dodecandrum,地稔,TCMH459,ITSAJ4635-14
TCMFx41,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx46,TCMH1617,Eriobotrya japonica thunb,枇杷叶,TCMH1617,ITSAN1970-14
TCMFx47,TCMH1617,Eriobotrya japonica thunb,枇杷叶,TCMH1617,ITSAN1970-14
TCMFx51,TCMH725,Callicarpae caulis et folium,广东紫珠,TCMH725,
TCMF53,TCMH2654,Suis fellis pulvis,猪胆粉,TCMH2654,
TCMFx56,TCMH324,Magnetitum,磁石,TCMH324,
TCMFx56,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx56,TCMH621,Fructus tritici levis,浮小麦,TCMH621,
TCMFx57,TCMH2323,,杏仁水,TCMH2323,
TCMFx57,TCMH247,,陈皮流浸膏,TCMH247,
TCMFx62,TCMH190,,薄荷素油,TCMH190,
TCMFx62,TCMH2592,,樟油,TCMH2592,
TCMFx63,TCMH2273,,香墨,TCMH2273,
TCMFx64,TCMH2578,Lycopi Herba,泽兰,TCMH2578,
TCMFx64,TCMH287,Clematidis armandii caulis,川木通,TCMH287,
TCMF66,TCMH1613,Sal sedatirum,硼砂,TCMH1613,
TCMF67,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMF68,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx69,TCMH2234,Chebulae fructus immaturus,西青果,TCMH2234,
TCMFx69,TCMH2681,Caulis bambusae in taeniam,竹茹,TCMH2681,
TCMFx69,TCMH1179,Citri exocarpium rubrum,橘红,TCMH1179,
TCMFx71,TCMH411,,胆酸,TCMH411,
TCMFx71,TCMH2680,,猪去氧胆酸,TCMH2680,
TCMFx71,TCMH988,,黄芩苷,TCMH988,
TCMFx71,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx72,TCMH411,,胆酸,TCMH411,
TCMFx72,TCMH2610,Concha margaritifera usta;Margarita,珍珠母,TCMH2610,
TCMFx72,TCMH2680,,猪去氧胆酸,TCMH2680,
TCMFx72,TCMH988,,黄芩苷,TCMH988,
TCMF75,TCMH2683,Cinnabaris,朱砂粉,TCMH2683,
TCMF76,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMF76,TCMH1116,,进翘,TCMH1116,
TCMFx77,TCMH1847,Lonicerae flos,山银花,TCMH1847,
TCMFx77,TCMH1382,,绿茶叶,TCMH1382,
TCMFx80,TCMH1060,Bombyx batryticatus,僵蚕,TCMH1060,
TCMFx80,TCMH1675,Agkistrodon acutus,蕲蛇,TCMH1675,
TCMFx81,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMFx81,TCMH1142,Schizonepetae spica,荆芥穗,TCMH1142,
TCMFx82,TCMH1847,Lonicerae flos,山银花,TCMH1847,
TCMF83,TCMH710,Trichosanthes kirilowii maxim,瓜蒌子,TCMH710,ITSAO4359-14
TCMFx85,TCMH1931,Gypsum fibrosum,石膏,TCMH1931,
TCMF86,TCMH82,,白酒曲,TCMH82,
