id,resource_id,resource_type,chinese_name,latin_name,english_name,pinyin_name,alias,taxonomy_kingdom,taxonomy_phylum,taxonomy_class,taxonomy_order,taxonomy_family,taxonomy_genus,taxonomy_species,taxonomy_id,medicinal_part,medicinal_part_latin,origin_region,distribution,habitat,tcm_property,tcm_flavor,tcm_meridian,tcm_toxicity,functions,indications,contraindications,mineral_composition,mineral_crystal_system,mineral_hardness,mineral_color,microbe_strain,microbe_culture_condition,microbe_fermentation_product,animal_class,animal_conservation_status,tcmid_id,tcmsp_id,herb_id,pharmacopoeia_ref,literature_ref,image_url,num_of_natural_products,num_of_prescriptions,created_at,updated_at,species_tax_id,genus_tax_id,family_tax_id,cmaup_id
11,NPO10009,Other,,Oxylobus arbutifolius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0,2026-01-29 01:59:59.152092,2026-01-29 03:02:12.380427,,,,
115,NPO10146,Animal,,Bassia parkii,,,,Metazoa,,,,Abylidae,Bassia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,0,2026-01-29 01:59:59.152092,2026-01-29 03:02:12.380427,,,,
49229,RES50000,Microbe,茯苓,Wolfiporia cocos,,,,,,,,,Wolfiporia,Wolfiporia cocos,,,,,,,,,,,,,,,,,,,,,,,TCMH606,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49230,RES50001,Plant,陈皮,Pericarpium citri reticulatae,,,,,,,,,Pericarpium,Pericarpium citri,,,,,,,,,,,,,,,,,,,,,,,TCMH243,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49231,RES50002,Plant,苦杏仁,Semen armeniacae amarum,,,,,,,,,Semen,Semen armeniacae,,,,,,,,,,,,,,,,,,,,,,,TCMH1219,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49232,RES50003,Mineral,石膏,Gypsum fibrosum,,,,,,,,,Gypsum,Gypsum fibrosum,,,,,,,,,,,,,,,,,,,,,,,TCMH1931,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49233,RES50004,Plant,厚朴,Cortex magnoliae officinalis,,,,,,,,,Cortex,Cortex magnoliae,,,,,,,,,,,,,,,,,,,,,,,TCMH890,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49234,RES50005,Plant,朱砂,Cinnabaris,,,,,,,,,Cinnabaris,Cinnabaris,,,,,,,,,,,,,,,,,,,,,,,TCMH2682,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49235,RES50006,Plant,生地黄,Radix rehmanniae,,,,,,,,,Radix,Radix rehmanniae,,,,,,,,,,,,,,,,,,,,,,,TCMH1896,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
49236,RES50007,Plant,地龙,Rhizoma dioscoreae nipponicae,,,,,,,,,Rhizoma,Rhizoma dioscoreae,,,,,,,,,,,,,,,,,,,,,,,TCMH456,,,,,,0,0,2026-01-29 14:59:33.900074,2026-01-29 14:59:33.900074,,,,
